LON	LAT	TIPO	name	alt_name
-16.8176606833995	28.3474476692479	CAPTA-GALERÍA CONVENCIONAL	Galería la Escalera	
-16.8312522956634	28.3381873662642	CAPTA-GALERÍA CONVENCIONAL	Galería el Caudal 2	
-16.867230775274	28.3535820945131	CAPTA-GALERÍA CONVENCIONAL	Galería el Monte	Galería Bujamé
-16.3832171350453	28.3859677844099	CAPTA-GALERÍA CONVENCIONAL	Galería Río de Igueste	
-16.3894197310266	28.3850021427928	CAPTA-GALERÍA CONVENCIONAL	Galería Barranco de Iqueque	Galería los Tres
-16.4015221364147	28.3639484956243	CAPTA-GALERÍA CONVENCIONAL	Galería Barranco del Rincón	
-16.8388394204708	28.2598353468008	CAPTA-GALERÍA CONVENCIONAL	Galería el Jurado	
-16.406260103974	28.3796939860661	CAPTA-GALERÍA CONVENCIONAL	Galería Igonce	
-16.824707891386	28.3533276332257	CAPTA-GALERÍA CONVENCIONAL	Galería Talavera	
-16.3940839828652	28.3826891462703	CAPTA-GALERÍA CONVENCIONAL	Galería Paso de la Reina	
-16.3972056332276	28.3685866995101	CAPTA-GALERÍA CONVENCIONAL	Galería Cueva Honda de la Florida	Galería Rucadén
-16.3925515162535	28.3825604110358	CAPTA-GALERÍA CONVENCIONAL	Galería Chinabargo	
-16.4356707215688	28.3653079300772	CAPTA-GALERÍA CONVENCIONAL	Galería la Ilusión	
-16.4380744381758	28.3672591211375	CAPTA-GALERÍA CONVENCIONAL	Galería el Charquillo	
-16.4457446589243	28.3647862980296	CAPTA-GALERÍA CONVENCIONAL	Galería San Pedro	
-16.4253687860298	28.3686290375256	CAPTA-GALERÍA CONVENCIONAL	Galería los Eritos	
-16.4180989107229	28.3774774370632	CAPTA-GALERÍA CONVENCIONAL	Galería Achacay 1	
-16.4149842473753	28.3742336353705	CAPTA-GALERÍA CONVENCIONAL	Galería Santa Ana 1	
-16.4110208562467	28.3700689397077	CAPTA-GALERÍA CONVENCIONAL	Galería Achacay 2	
-16.400733908557	28.3862761963009	CAPTA-GALERÍA CONVENCIONAL	Galería Chacorche	
-16.850824431829	28.313990817874	CAPTA-GALERÍA CONVENCIONAL	Galería Juan López	
-16.5136614179399	28.3578488311741	CAPTA-GALERÍA CONVENCIONAL	Galería la Fortuita	
-16.8227545126045	28.2657362671111	CAPTA-GALERÍA CONVENCIONAL	Galería las Mozas	Galería Tamaimo
-16.8121521788703	28.2746671216331	CAPTA-GALERÍA CONVENCIONAL	Galería Honduras de Luchón	
-16.7946919183407	28.2838860427347	CAPTA-GALERÍA CONVENCIONAL	Galería Bilma	
-16.832455876236	28.2900173959808	CAPTA-GALERÍA CONVENCIONAL	Galería el Sauce 1	
-16.8312128529698	28.276362158772	CAPTA-GALERÍA CONVENCIONAL	Galería la Junquera	
-16.8168304010808	28.2854342626778	CAPTA-GALERÍA CONVENCIONAL	Galería Fuente Salto del Guanche	
-16.8457327348703	28.2830883620553	CAPTA-GALERÍA CONVENCIONAL	Galería el Natero	
-16.7768016858882	28.3122042380878	CAPTA-GALERÍA CONVENCIONAL	Galería los Riegos	
-16.8028075207079	28.3038855741255	CAPTA-GALERÍA CONVENCIONAL	Galería el Señor del Valle	
